Protein_Name,Protein_Labels,Source,Predicted results,
Q2QM69,envelope,By Similarity,envelope,
Q2R2Z4,envelope,Publication,envelope,
Q2V4B9,envelope,By Similarity,envelope,
Q2VEX9,envelope,By Similarity,envelope,
Q33BW4,envelope,By Similarity|UniProtKB:P56785,envelope,
Q39444,envelope,Publication,membrane,
Q3C1P6,envelope,By Similarity|UniProtKB:P56785,envelope,
Q4VZL0,envelope,By Similarity|UniProtKB:P56785,envelope,
Q52QW2,envelope,By Similarity,envelope,
Q52QW3,envelope,By Similarity,envelope,
Q56ZZ7,envelope,Publication|PubMed:10810150,envelope,
Q5EFU4,envelope,Publication,envelope,
Q5N9A1,envelope,By Similarity,envelope,
Q5N9J9,envelope,Publication,envelope,
Q5NAY7,envelope,Publication,envelope,membrane
Q5W6H5,envelope,Publication,envelope,
Q652N5,envelope,Publication,envelope,
Q6DW74,envelope,Publication,envelope,
Q6DW75,envelope,Publication,envelope,
Q6DW76,envelope,Publication,envelope,
Q6ID99,envelope,By Similarity,envelope,
Q6QJE2,envelope,By Similarity,envelope,
Q75IQ4,envelope,By Similarity,envelope,
Q7XB13,envelope,By Similarity|UniProtKB:Q7XB14,envelope,
Q84K71,envelope,Publication,envelope,
Q84Q83,envelope,Publication,envelope,
Q84WG3,envelope,Manual assertion,envelope,
Q852K0,envelope,Publication,membrane,
Q85B66,envelope,By Similarity|UniProtKB:P56785,envelope,
Q85FG7,envelope,By Similarity|UniProtKB:P56785,envelope,
Q8LFD1,envelope,Publication,envelope,
Q8LPG1,envelope,Publication,envelope,
Q8RWG3,envelope,By Similarity|UniProtKB:Q9C9Z2,envelope,
Q8RXE8,envelope,Publication|PubMed:19542295,envelope,
Q8S0J7,membrane|envelope,By Similarity,membrane,
Q8VYY4,envelope,Publication|PubMed:19542295,envelope,
Q8W0H5,envelope,Publication,envelope,
Q93YR2,envelope,Publication|PubMed:19542295,envelope,
Q94A32,envelope,Publication,envelope,
Q94CJ5,envelope,By Similarity|UniProtKB:Q9C9Z2,envelope,
Q9AUK4,envelope,Publication,envelope,
Q9BAE0,envelope,Publication,membrane,
Q9FFK3,envelope,Publication,envelope,
Q9FG89,envelope,Manual assertion,membrane,
Q9FGP9,envelope,By Similarity|UniProtKB:Q9C9Z2,envelope,
Q9FMF8,envelope,Publication,envelope,
Q9FTT3,envelope,Publication,envelope,
Q9FY46,envelope,Publication,envelope,
Q9LMU1,envelope,Publication,membrane,
Q9LVZ3,envelope,Publication,envelope,
Q9LZ20,envelope,Publication,envelope,
Q9MUK5,envelope,Publication,envelope,
Q9MUM4,envelope,Publication,envelope,
Q9SIY5,envelope,By Similarity|UniProtKB:Q9C9Z2,envelope,
Q9SPK6,envelope,Publication,envelope,
Q9SVE7,envelope,Publication,envelope,
Q9SZB2,envelope,By Similarity,envelope,
Q9ZST8,envelope,Publication,envelope,
A0A347,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A0A393,envelope,By Similarity|UniProtKB:P56785,envelope,
A0ZZ47,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A0ZZ93,envelope,By Similarity|UniProtKB:P56785,envelope,
A1E9K2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A1E9T6,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A1EA20,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A1XFW7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A1XG13,envelope,By Similarity|UniProtKB:P56785,envelope,
A1XGT3,envelope,By Similarity|UniProtKB:P56785,envelope,
A2CI41,envelope,Publication,envelope,
A2CI71,envelope,Publication,envelope,
A2T345,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A2X208,envelope,By Similarity,envelope,
A2XLM6,envelope,Publication,membrane,
A2YTP9,envelope,Publication,envelope,
A4GGB8,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4GGF4,envelope,By Similarity|UniProtKB:P56785,envelope,
A4GYS3,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QJC7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QJH4,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QJL1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QJQ8,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QJU5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QJZ0,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QK30,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QK78,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QKB7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QKG5,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QKK4,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QKQ3,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QKU3,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QKZ2,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QL31,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QL79,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QLB8,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QLG7,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QLK6,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QLQ5,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QLU5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A4QLZ3,envelope,By Similarity|UniProtKB:P56785,envelope,
A4QM32,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A6H5J0,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A6MM48,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A6MM95,envelope,By Similarity|UniProtKB:P56785,envelope,
A6MMD4,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A6MMG9,envelope,By Similarity|UniProtKB:P56785,envelope,
A6MML9,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A6MMQ5,envelope,By Similarity|UniProtKB:P56785,envelope,
A6MMV6,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A6MN03,envelope,By Similarity|UniProtKB:P56785,envelope,
A6MVV9,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A6YG79,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A7M944,envelope,By Similarity|UniProtKB:P56785,envelope,
A7M9B2,envelope,By Similarity|UniProtKB:P56785,envelope,
A7Y3F4,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A8SEB5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A8SEG5,envelope,By Similarity|UniProtKB:P56785,envelope,
A8W3G9,envelope,By Similarity|UniProtKB:P56785,envelope,
A8Y9I1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A9L9E2,envelope,By Similarity|UniProtKB:P56785,envelope,
A9LIW2,envelope,Publication|PubMed:22431979,envelope,
A9LYB2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
A9LYF8,envelope,By Similarity|UniProtKB:P56785,envelope,
B0Z4N8,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B0Z4X2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B0Z556,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B0Z5E0,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B1A947,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B1NWG2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B1VKB8,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B2LMK5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B2Y1X1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
B4FHU1,envelope,Publication,envelope,
B8AAM2,envelope,Publication,envelope,
B8AD72,envelope,Publication,envelope,
B8AFI8,envelope,By Similarity,envelope,
B8AJ09,envelope,Publication,envelope,
B8BDK4,envelope,Publication,envelope,
B9FGV7,envelope,Publication,envelope,
F4I5Q2,envelope,Publication,envelope,
F4IZC4,envelope,Publication,envelope,
F4J469,envelope,By Similarity,envelope,
F4JF35,envelope,By Similarity|UniProtKB:Q5PP51,envelope,
O04584,envelope,By Similarity,envelope,
O22780,envelope,Publication,envelope,
O48921,envelope,Publication,envelope,
O78470,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P0C302,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P0C303,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P11432,envelope,Publication,membrane,
P12211,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P12212,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P12213,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P12221,envelope,By Similarity|UniProtKB:P56785,envelope,
P12222,envelope,By Similarity|UniProtKB:P56785,envelope,
P14895,envelope,Publication,envelope,
P14896,envelope,Publication,envelope,
P14897,envelope,Publication,envelope,
P20864,envelope,By Similarity,,
P26246,envelope,Publication,envelope,
P31563,envelope,By Similarity|UniProtKB:P56785,envelope,
P41647,envelope,By Similarity|UniProtKB:P56785,envelope,
P46641,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P48619,envelope,Publication,envelope,
P48620,envelope,Publication,envelope,
P49160,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P51232,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P51321,envelope,Publication,envelope,
P51364,envelope,Publication,envelope,
P51392,envelope,Publication,envelope,
P51393,envelope,Publication,envelope,
P52177,envelope,By Similarity,envelope,
P52764,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P56343,envelope,Publication,envelope,
P56349,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P56783,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P58155,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P69373,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
P69374,envelope,By Similarity,envelope,
P69375,envelope,By Similarity,membrane,
Q06FL4,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q06FP6,envelope,By Similarity|UniProtKB:P56785,envelope,
Q06GK1,envelope,By Similarity|UniProtKB:P56785,envelope,
Q06GP8,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q06GT8,envelope,By Similarity|UniProtKB:P56785,envelope,
Q06GY5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q06J46,envelope,Publication,envelope,
Q06R72,envelope,By Similarity|UniProtKB:P56785,envelope,
Q06RC0,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q06SD7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q06SH2,envelope,Publication,envelope,
Q09FQ2,envelope,By Similarity|UniProtKB:P56785,envelope,
Q09FU9,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q09FY8,envelope,By Similarity|UniProtKB:P56785,envelope,
Q09G34,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q09MB8,envelope,By Similarity|UniProtKB:P56785,envelope,
Q09MG6,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q09WW0,envelope,By Similarity|UniProtKB:P56785,envelope,
Q09X05,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q0DWQ1,envelope,Publication,envelope,
Q0G9G1,envelope,By Similarity|UniProtKB:P56785,envelope,
Q0G9K7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q0G9Q4,envelope,By Similarity|UniProtKB:P56785,envelope,
Q0G9V0,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q0IZQ3,envelope,Publication,envelope,
Q0WVE9,envelope,By Similarity,envelope,
Q0ZIW0,envelope,By Similarity|UniProtKB:P56785,envelope,
Q0ZJ08,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q14FA0,envelope,By Similarity|UniProtKB:P56785,envelope,
Q14FE5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q19V69,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q1ACJ1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q1KVQ9,envelope,Publication,envelope,
Q1KVU2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q1KXH4,envelope,By Similarity|UniProtKB:P56785,envelope,
Q1KXR1,envelope,By Similarity|UniProtKB:P56785,envelope,
Q1KXU7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q1XD94,envelope,Publication,envelope,
Q1XD95,envelope,Publication,envelope,
Q1XDC3,envelope,Publication,envelope,
Q1XDG5,envelope,Publication,envelope,
Q1XDQ5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q20EU1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q20EU8,envelope,Publication,envelope,
Q20EZ8,envelope,Publication,envelope,
Q2L922,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q2L951,envelope,By Similarity|UniProtKB:P56785,envelope,
Q2MI88,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q2MIC9,envelope,By Similarity|UniProtKB:P56785,envelope,
Q2MIH5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q2N2K0,envelope,Publication,envelope,
Q2N2K1,envelope,Publication,envelope,
Q2N2K2,envelope,Publication,envelope,
Q2N2K3,envelope,Publication,envelope,
Q2PMP0,envelope,By Similarity|UniProtKB:P56785,envelope,
Q2QD77,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q2QNK7,envelope,Publication,envelope,
Q2VEC3,envelope,By Similarity|UniProtKB:P56785,envelope,
Q2VEG5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q2WGD3,envelope,By Similarity|UniProtKB:P56785,envelope,
Q32RF7,envelope,Publication,envelope,
Q32RG7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q32RK5,envelope,By Similarity|UniProtKB:P56785,envelope,
Q32RT2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q32RZ9,envelope,By Similarity|UniProtKB:P56785,envelope,
Q332W6,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q33C21,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q37050,envelope,By Similarity,envelope,
Q3BAM9,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q3C1I9,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q3V4X6,envelope,By Similarity|UniProtKB:P56785,envelope,
Q3V523,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q3ZJ04,envelope,Publication,envelope,
Q3ZJ15,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q43078,envelope,Publication,envelope,
Q49KU0,envelope,By Similarity|UniProtKB:P56785,envelope,
Q49KY6,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q4FGG7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q4FGG9,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q53WP9,envelope,Publication,envelope,
Q5SCY7,envelope,By Similarity|UniProtKB:P56785,envelope,
Q5SD38,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q5VRB2,envelope,Publication,envelope,
Q650U0,envelope,Publication,envelope,
Q68RU8,envelope,By Similarity|UniProtKB:P56785,envelope,
Q68RZ4,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q69QJ7,envelope,Publication,envelope,
Q6B8P8,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q6B923,envelope,Publication,envelope,
Q6DW73,envelope,Publication,envelope,
Q6ENG1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q6ENV2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q6ESG1,envelope,Publication,envelope,
Q6EVZ2,envelope,By Similarity|UniProtKB:P56785,envelope,
Q6EW41,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q6H7M7,envelope,By Similarity,envelope,
Q6K739,envelope,Publication,envelope,
Q6K965,envelope,By Similarity,envelope,
Q6L388,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q6UTZ2,envelope,Publication,envelope,
Q6YXP5,envelope,By Similarity|UniProtKB:P56785,envelope,
Q6YXR1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q70XV6,envelope,By Similarity|UniProtKB:P56785,envelope,
Q70XZ1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q71E53,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q7XR51,envelope,Publication,envelope,
Q7XTQ5,envelope,By Similarity,envelope,
Q7XVB3,envelope,Publication,envelope,
Q7YJS6,envelope,By Similarity|UniProtKB:P56785,envelope,
Q7YJW1,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q84R21,envelope,Publication,envelope,
Q851F9,envelope,Publication,membrane,
Q85AI0,envelope,Publication,envelope,
Q85AP4,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q85BV1,envelope,Publication,envelope,
Q85FL0,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q85FP7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q85WU2,envelope,By Similarity|UniProtKB:P56785,envelope,
Q8GW20,envelope,Manual assertion,envelope,
Q8M9T2,envelope,By Similarity|UniProtKB:P56785,envelope,
Q8M9X3,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q8S8U2,envelope,By Similarity|UniProtKB:P56785,envelope,
Q8S8W5,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q8WHX1,envelope,By Similarity|UniProtKB:P56785,envelope,
Q8WI08,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q9BBN6,envelope,By Similarity|UniProtKB:P56785,envelope,
Q9C9Z3,envelope,By Similarity|UniProtKB:Q9C9Z2,envelope,
Q9FFX0,envelope,Manual assertion,envelope,
Q9FYG3,envelope,By Similarity,envelope,
Q9FZL3,envelope,Publication,envelope,
Q9FZL4,envelope,Publication,envelope,
Q9LK65,envelope,Publication,envelope,
Q9LP10,envelope,Manual assertion,membrane,
Q9M3J5,envelope,By Similarity|UniProtKB:P56785,envelope,
Q9M3L4,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q9MTH5,envelope,By Similarity|UniProtKB:P56785,envelope,
Q9MTK9,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q9MUL9,envelope,Publication,envelope,
Q9MUM0,envelope,By Similarity|UniProtKB:P56785,envelope,
Q9MUN7,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q9MUV9,envelope,Publication,envelope,
Q9SDI4,envelope,Publication,envelope,
Q9SQZ0,envelope,Publication,envelope,
Q9TKU7,envelope,Publication,envelope,
Q9TKU8,envelope,Publication,envelope,
Q9TKZ2,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
Q9TL36,envelope,Publication,envelope,
Q9TLS5,envelope,Publication,membrane,
Q9TM16,envelope,Manual assertion|HAMAP-Rule:MF_01308,envelope,
O19916,envelope,Publication,envelope,
O78493,envelope,Publication,membrane,
P30160,envelope,Publication,envelope,membrane
P49538,envelope,Publication,membrane,
P51239,envelope,Publication,envelope,
P51264,envelope,Publication,membrane,
P51360,envelope,Publication,envelope,
P56370,envelope,Publication,envelope,
Q0P3P6,envelope,Publication,envelope,
Q1XDC7,envelope,Publication,envelope,
Q1XDM3,envelope,Publication,membrane,
Q1XDP8,envelope,Publication,envelope,
Q32618,envelope,Publication,envelope,
Q6B8Q5,envelope,Publication,envelope,
Q6B8S9,envelope,Publication,membrane,
Q85G30,envelope,Publication,envelope,
Q9TM18,envelope,Publication,envelope,
O04073,lumen,Publication|PubMed:9252339,membrane,
O81103,lumen,By Similarity|UniProtKB:Q6UIL3,lumen,
Q9ZP19,lumen,By Similarity,lumen,
P08197,lumen,Publication,lumen,
Q6QPJ6,lumen,By Similarity|UniProtKB:Q9LU86,lumen,
